## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE aligned_reads/SRR2584863_insert_size_histogram.pdf --INPUT aligned_reads/SRR2584863_sorted_dedup_reads.bam --OUTPUT aligned_reads/SRR2584863_insert_size_metrics.txt --DEVIATIONS 10.0 --MINIMUM_PCT 0.05 --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Jun 18 11:37:21 EEST 2026

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
604	765	238	9	4480831	569.102453	307.156079	1269301	FR	91	181	275	373	477	595	725	865	1013	1089	1261			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
9	11
10	1
19	3
20	2
22	3
23	6
24	8
25	9
26	22
27	84
28	144
29	159
30	333
31	412
32	596
33	642
34	693
35	852
36	1048
37	1152
38	1093
39	1012
40	1021
41	1107
42	1164
43	1194
44	1379
45	1425
46	1500
47	1431
48	1363
49	1284
50	1314
51	1210
52	1231
53	1325
54	1394
55	1399
56	1406
57	1463
58	1434
59	1348
60	1385
61	1339
62	1383
63	1360
64	1416
65	1341
66	1438
67	1457
68	1439
69	1364
70	1422
71	1366
72	1405
73	1386
74	1408
75	1396
76	1464
77	1376
78	1499
79	1390
80	1455
81	1343
82	1372
83	1379
84	1354
85	1383
86	1380
87	1444
88	1431
89	1359
90	1406
91	1408
92	1374
93	1415
94	1279
95	1404
96	1387
97	1381
98	1441
99	1389
100	1435
101	1387
102	1350
103	1385
104	1327
105	1331
106	1326
107	1446
108	1374
109	1444
110	1381
111	1374
112	1413
113	1346
114	1355
115	1360
116	1300
117	1335
118	1284
119	1410
120	1357
121	1310
122	1349
123	1300
124	1322
125	1335
126	1325
127	1275
128	1279
129	1337
130	1328
131	1266
132	1334
133	1405
134	1292
135	1300
136	1233
137	1238
138	1260
139	1356
140	1300
141	1278
142	1323
143	1266
144	1267
145	1344
146	1213
147	1219
148	1267
149	1264
150	1185
151	1207
152	1228
153	1273
154	1182
155	1209
156	1283
157	1268
158	1286
159	1214
160	1179
161	1228
162	1210
163	1170
164	1258
165	1203
166	1184
167	1182
168	1164
169	1131
170	1261
171	1171
172	1207
173	1165
174	1196
175	1148
176	1234
177	1135
178	1111
179	1225
180	1203
181	1180
182	1217
183	1211
184	1188
185	1143
186	1175
187	1193
188	1137
189	1112
190	1144
191	1196
192	1160
193	1102
194	1122
195	1106
196	1121
197	1122
198	1077
199	1082
200	1139
201	1104
202	1045
203	1099
204	1145
205	1088
206	1085
207	1091
208	1098
209	1129
210	1067
211	1099
212	1045
213	1076
214	1026
215	1045
216	1134
217	1048
218	1061
219	1010
220	1018
221	1071
222	1071
223	1106
224	1039
225	1085
226	1046
227	1081
228	1065
229	1054
230	1053
231	1010
232	1005
233	1064
234	1049
235	1020
236	1025
237	1006
238	1031
239	1053
240	1004
241	1041
242	1037
243	1057
244	1027
245	974
246	1023
247	997
248	984
249	1019
250	978
251	958
252	1007
253	996
254	1029
255	949
256	981
257	953
258	1023
259	990
260	1026
261	956
262	944
263	1009
264	935
265	977
266	971
267	926
268	965
269	986
270	933
271	955
272	976
273	1042
274	978
275	969
276	943
277	928
278	936
279	952
280	914
281	961
282	961
283	903
284	877
285	931
286	897
287	938
288	953
289	928
290	916
291	953
292	915
293	926
294	903
295	862
296	889
297	869
298	900
299	927
300	919
301	894
302	868
303	903
304	912
305	962
306	893
307	946
308	903
309	870
310	873
311	917
312	866
313	966
314	859
315	907
316	885
317	890
318	914
319	897
320	882
321	914
322	867
323	937
324	922
325	907
326	916
327	923
328	882
329	882
330	865
331	971
332	898
333	920
334	945
335	853
336	913
337	828
338	907
339	970
340	901
341	871
342	918
343	858
344	836
345	861
346	889
347	880
348	931
349	953
350	873
351	880
352	845
353	851
354	879
355	868
356	882
357	875
358	938
359	854
360	835
361	909
362	889
363	856
364	883
365	847
366	882
367	897
368	924
369	886
370	909
371	943
372	867
373	890
374	881
375	853
376	885
377	880
378	934
379	867
380	902
381	894
382	908
383	900
384	948
385	850
386	857
387	919
388	880
389	927
390	843
391	897
392	917
393	873
394	891
395	901
396	862
397	906
398	921
399	900
400	854
401	881
402	940
403	956
404	855
405	947
406	904
407	879
408	980
409	892
410	913
411	924
412	923
413	936
414	914
415	966
416	930
417	916
418	940
419	940
420	894
421	923
422	917
423	946
424	948
425	908
426	955
427	881
428	962
429	956
430	924
431	946
432	922
433	946
434	966
435	1020
436	936
437	881
438	921
439	954
440	996
441	943
442	934
443	985
444	952
445	933
446	957
447	1030
448	988
449	945
450	1019
451	955
452	1017
453	973
454	923
455	989
456	924
457	941
458	990
459	1007
460	1001
461	991
462	971
463	986
464	1015
465	1052
466	990
467	995
468	1041
469	1031
470	1021
471	1043
472	1078
473	1051
474	1018
475	1078
476	1042
477	959
478	971
479	1044
480	1027
481	1047
482	1088
483	1066
484	991
485	1068
486	1062
487	998
488	1045
489	1082
490	1103
491	1092
492	1076
493	1104
494	1027
495	1071
496	1099
497	1082
498	1038
499	1054
500	1097
501	1061
502	1065
503	1198
504	1084
505	1141
506	1101
507	1138
508	1045
509	1142
510	1081
511	1097
512	1097
513	1106
514	1124
515	1172
516	1127
517	1166
518	1127
519	1130
520	1101
521	1101
522	1144
523	1142
524	1200
525	1196
526	1195
527	1210
528	1147
529	1156
530	1191
531	1102
532	1131
533	1198
534	1174
535	1187
536	1229
537	1252
538	1202
539	1202
540	1203
541	1259
542	1249
543	1238
544	1250
545	1198
546	1305
547	1217
548	1188
549	1177
550	1243
551	1232
552	1220
553	1266
554	1251
555	1247
556	1245
557	1297
558	1242
559	1272
560	1290
561	1300
562	1293
563	1265
564	1237
565	1223
566	1311
567	1253
568	1283
569	1332
570	1315
571	1282
572	1263
573	1277
574	1303
575	1314
576	1315
577	1329
578	1345
579	1403
580	1339
581	1350
582	1336
583	1379
584	1368
585	1394
586	1403
587	1371
588	1388
589	1391
590	1358
591	1334
592	1328
593	1421
594	1340
595	1419
596	1412
597	1390
598	1427
599	1410
600	1381
601	1456
602	1406
603	1404
604	1438
605	1478
606	1423
607	1357
608	1405
609	1416
610	1431
611	1517
612	1481
613	1466
614	1501
615	1506
616	1411
617	1443
618	1496
619	1571
620	1531
621	1431
622	1495
623	1415
624	1441
625	1488
626	1463
627	1499
628	1502
629	1452
630	1546
631	1509
632	1482
633	1517
634	1547
635	1483
636	1540
637	1502
638	1475
639	1539
640	1487
641	1545
642	1531
643	1507
644	1500
645	1593
646	1604
647	1547
648	1523
649	1580
650	1559
651	1488
652	1548
653	1596
654	1583
655	1611
656	1568
657	1548
658	1574
659	1603
660	1560
661	1482
662	1635
663	1619
664	1598
665	1575
666	1581
667	1582
668	1619
669	1679
670	1577
671	1554
672	1527
673	1584
674	1621
675	1579
676	1644
677	1667
678	1650
679	1735
680	1624
681	1616
682	1626
683	1634
684	1733
685	1624
686	1546
687	1720
688	1636
689	1615
690	1610
691	1721
692	1672
693	1605
694	1671
695	1666
696	1587
697	1653
698	1663
699	1657
700	1654
701	1645
702	1668
703	1616
704	1656
705	1659
706	1710
707	1630
708	1668
709	1604
710	1681
711	1688
712	1673
713	1689
714	1702
715	1710
716	1715
717	1709
718	1673
719	1532
720	1676
721	1691
722	1671
723	1705
724	1651
725	1618
726	1645
727	1672
728	1676
729	1606
730	1663
731	1669
732	1670
733	1636
734	1676
735	1695
736	1650
737	1657
738	1670
739	1699
740	1587
741	1591
742	1611
743	1618
744	1627
745	1658
746	1681
747	1646
748	1586
749	1710
750	1633
751	1650
752	1717
753	1690
754	1647
755	1670
756	1667
757	1621
758	1652
759	1634
760	1591
761	1642
762	1616
763	1689
764	1665
765	1774
766	1612
767	1621
768	1620
769	1592
770	1569
771	1638
772	1573
773	1657
774	1598
775	1605
776	1574
777	1582
778	1623
779	1662
780	1633
781	1587
782	1566
783	1642
784	1597
785	1641
786	1595
787	1609
788	1652
789	1623
790	1616
791	1552
792	1526
793	1568
794	1562
795	1556
796	1564
797	1555
798	1594
799	1548
800	1620
801	1630
802	1573
803	1521
804	1636
805	1597
806	1578
807	1575
808	1543
809	1498
810	1517
811	1504
812	1563
813	1510
814	1480
815	1495
816	1523
817	1467
818	1460
819	1513
820	1526
821	1520
822	1448
823	1531
824	1464
825	1503
826	1437
827	1520
828	1469
829	1474
830	1418
831	1418
832	1402
833	1439
834	1401
835	1440
836	1451
837	1389
838	1472
839	1461
840	1462
841	1401
842	1408
843	1471
844	1399
845	1388
846	1402
847	1398
848	1344
849	1393
850	1374
851	1422
852	1413
853	1365
854	1364
855	1355
856	1323
857	1376
858	1425
859	1315
860	1334
861	1327
862	1352
863	1336
864	1268
865	1331
866	1281
867	1283
868	1296
869	1257
870	1241
871	1304
872	1330
873	1237
874	1250
875	1266
876	1212
877	1289
878	1180
879	1251
880	1241
881	1225
882	1267
883	1190
884	1295
885	1267
886	1211
887	1181
888	1196
889	1236
890	1200
891	1176
892	1155
893	1148
894	1133
895	1227
896	1217
897	1151
898	1124
899	1171
900	1120
901	1158
902	1094
903	1158
904	1152
905	1156
906	1075
907	1137
908	1090
909	1119
910	1133
911	1114
912	1091
913	1048
914	1082
915	1088
916	1123
917	1102
918	1044
919	1088
920	1075
921	1056
922	1064
923	1056
924	1013
925	994
926	1076
927	988
928	1017
929	1006
930	1008
931	976
932	970
933	1041
934	947
935	968
936	943
937	1037
938	954
939	1009
940	951
941	978
942	944
943	962
944	902
945	938
946	975
947	961
948	936
949	977
950	929
951	962
952	914
953	865
954	923
955	895
956	849
957	892
958	891
959	853
960	876
961	873
962	819
963	843
964	835
965	838
966	828
967	889
968	863
969	824
970	860
971	821
972	820
973	796
974	832
975	753
976	805
977	775
978	843
979	776
980	870
981	767
982	778
983	764
984	737
985	794
986	711
987	718
988	747
989	726
990	810
991	770
992	732
993	761
994	723
995	735
996	680
997	724
998	737
999	705
1000	724
1001	624
1002	647
1003	710
1004	646
1005	665
1006	691
1007	653
1008	651
1009	639
1010	632
1011	662
1012	628
1013	594
1014	643
1015	663
1016	560
1017	596
1018	617
1019	605
1020	597
1021	664
1022	576
1023	608
1024	607
1025	603
1026	542
1027	550
1028	597
1029	599
1030	575
1031	563
1032	586
1033	572
1034	554
1035	569
1036	575
1037	546
1038	573
1039	556
1040	569
1041	553
1042	533
1043	538
1044	483
1045	531
1046	512
1047	556
1048	518
1049	470
1050	533
1051	501
1052	545
1053	501
1054	505
1055	485
1056	499
1057	435
1058	460
1059	467
1060	478
1061	457
1062	480
1063	473
1064	454
1065	447
1066	476
1067	453
1068	487
1069	426
1070	437
1071	421
1072	407
1073	416
1074	418
1075	423
1076	413
1077	443
1078	366
1079	418
1080	418
1081	364
1082	425
1083	417
1084	444
1085	399
1086	423
1087	431
1088	386
1089	370
1090	377
1091	388
1092	350
1093	368
1094	365
1095	402
1096	359
1097	409
1098	351
1099	327
1100	363
1101	352
1102	359
1103	326
1104	360
1105	353
1106	365
1107	318
1108	319
1109	337
1110	350
1111	328
1112	349
1113	338
1114	332
1115	311
1116	297
1117	306
1118	347
1119	316
1120	283
1121	298
1122	282
1123	297
1124	330
1125	299
1126	305
1127	263
1128	268
1129	293
1130	291
1131	321
1132	289
1133	266
1134	276
1135	272
1136	257
1137	258
1138	283
1139	265
1140	293
1141	247
1142	263
1143	235
1144	250
1145	242
1146	264
1147	225
1148	215
1149	250
1150	218
1151	254
1152	265
1153	222
1154	227
1155	210
1156	251
1157	211
1158	213
1159	212
1160	189
1161	218
1162	225
1163	227
1164	218
1165	195
1166	194
1167	196
1168	215
1169	196
1170	200
1171	215
1172	183
1173	213
1174	200
1175	195
1176	188
1177	180
1178	213
1179	171
1180	186
1181	187
1182	156
1183	175
1184	217
1185	199
1186	177
1187	171
1188	177
1189	171
1190	152
1191	164
1192	173
1193	175
1194	152
1195	169
1196	156
1197	190
1198	157
1199	167
1200	151
1201	154
1202	153
1203	165
1204	153
1205	131
1206	157
1207	136
1208	148
1209	134
1210	115
1211	139
1212	119
1213	136
1214	139
1215	148
1216	123
1217	127
1218	127
1219	116
1220	127
1221	126
1222	132
1223	126
1224	120
1225	114
1226	120
1227	129
1228	114
1229	123
1230	130
1231	116
1232	109
1233	121
1234	109
1235	111
1236	119
1237	113
1238	112
1239	119
1240	94
1241	107
1242	121
1243	99
1244	102
1245	92
1246	98
1247	94
1248	97
1249	87
1250	91
1251	84
1252	103
1253	94
1254	103
1255	91
1256	83
1257	74
1258	84
1259	83
1260	116
1261	99
1262	83
1263	91
1264	97
1265	79
1266	88
1267	82
1268	80
1269	91
1270	61
1271	79
1272	66
1273	68
1274	83
1275	72
1276	70
1277	75
1278	70
1279	59
1280	81
1281	73
1282	55
1283	49
1284	59
1285	69
1286	72
1287	56
1288	65
1289	56
1290	66
1291	58
1292	63
1293	56
1294	53
1295	56
1296	58
1297	59
1298	42
1299	55
1300	67
1301	65
1302	66
1303	49
1304	68
1305	56
1306	60
1307	59
1308	37
1309	49
1310	44
1311	45
1312	43
1313	39
1314	40
1315	50
1316	48
1317	46
1318	45
1319	40
1320	46
1321	47
1322	47
1323	44
1324	51
1325	36
1326	38
1327	38
1328	40
1329	37
1330	47
1331	50
1332	38
1333	37
1334	41
1335	35
1336	45
1337	48
1338	49
1339	32
1340	26
1341	35
1342	39
1343	38
1344	41
1345	43
1346	22
1347	35
1348	25
1349	37
1350	24
1351	22
1352	32
1353	30
1354	35
1355	34
1356	20
1357	30
1358	28
1359	27
1360	34
1361	17
1362	23
1363	17
1364	28
1365	27
1366	23
1367	33
1368	25
1369	15
1370	26
1371	28
1372	27
